obsproject/obs-studio,172,1575,11906,1380595033,1668167330
netdata/netdata,68,2231,14622,1371494350,1668471480
redis/redis,269,128,11465,1237714200,1668465635
arendst/Tasmota,99,488,16950,1485610628,1668457578
emscripten-core/emscripten,400,286,24859,1282793928,1668470779
koekeishiya/yabai,51,134,1213,1556982860,1666681853
Foundry376/Mailspring,57,816,7445,1423009471,1668207205
micropython/micropython,53,264,14280,1380912791,1668476669
timescale/timescaledb,93,818,3666,1476839811,1668159299
qmk/qmk_firmware,1471,1735,22561,1281414846,1668379711
swaywm/sway,80,841,6994,1438736566,1668437998
bitcoin/bitcoin,271,2613,35823,1251603999,1668424127
microsoft/terminal,107,2933,3345,1502494553,1668463211
tensorflow/tensorflow,183,9628,138582,1446856078,1668476682
electron/electron,2039,4896,26906,1363201925,1668473218
topjohnwu/Magisk,57,110,6004,1372383729,1667293490
ocornut/imgui,80,288,7095,1405952988,1668094278
tesseract-ocr/tesseract,55,145,6107,1173211647,1668447010
protocolbuffers/protobuf,164,587,10378,1215655940,1668457174
opencv/opencv,118,3073,32393,1273599840,1668205682
grpc/grpc,228,3289,52163,1416615376,1668473014
pytorch/pytorch,115,2609,53786,1327499720,1668475517
ClickHouse/ClickHouse,1539,5212,101210,1228129846,1668474987
RedisInsight/RedisDesktopManager,97,496,2162,1375689068,1667397121
mozilla/DeepSpeech,108,135,3466,1456139317,1637171572
taichi-dev/taichi,110,606,9668,1479982284,1668477349
facebook/rocksdb,173,131,11619,1299087437,1668471281
rethinkdb/rethinkdb,127,840,33513,1254610058,1667326817
fish-shell/fish-shell,63,1190,16465,1127222799,1668295258
telegramdesktop/tdesktop,591,1447,13650,1399034191,1668122283
notepad-plus-plus/notepad-plus-plus,206,448,4904,1186448150,1668391358
ethereum/solidity,102,1122,22931,1388712439,1668444006
swoole/swoole-src,204,208,12591,1342878599,1668125827
osquery/osquery,123,1325,6218,1406766919,1668019230
PaddlePaddle/Paddle,65,600,38475,1472481173,1668430597
junegunn/fzf,115,178,2201,1382491615,1668182253
gohugoio/hugo,209,1134,7274,1372951586,1668449589
moby/moby,338,1950,44980,1358554419,1668470579
kubernetes/kubernetes,974,37144,112104,1402098048,1668475122
caddyserver/caddy,116,560,1533,1553623254,1668443882
gogs/gogs,74,904,5810,1392170503,1668089712
syncthing/syncthing,521,1393,6975,1387104211,1668398557
prometheus/prometheus,273,563,10559,1353755652,1668444496
etcd-io/etcd,229,551,18777,1370565812,1668474700
ethereum/go-ethereum,193,946,13791,1388058352,1668436916
rclone/rclone,95,1053,6564,1353259951,1668103232
traefik/traefik,397,2247,4558,1440778162,1667917926
go-gitea/gitea,164,7722,14134,1392170503,1668460659
hashicorp/terraform,259,10449,30588,1400714933,1668441911
cli/cli,102,1112,6114,1570159231,1668438480
docker/compose,199,1473,3675,1586184040,1667918806
jesseduffield/lazygit,187,316,3624,1526181825,1668419667
hashicorp/consul,213,758,19242,1383603327,1668471880
hashicorp/vault,193,799,16183,1424823359,1668468386
pingcap/tidb,237,9408,18943,1441512282,1668443514
cockroachdb/cockroach,302,9698,74744,1391645927,1668476480
labstack/echo,112,154,1644,1425231913,1667743251
ehang-io/nps,56,268,700,1541337771,1633763921
gofiber/fiber,103,223,3345,1577707862,1668411168
helm/helm,171,1028,6719,1446508376,1667940830
mattermost/mattermost-server,646,407,15625,1434354812,1668459424
influxdata/influxdb,401,1597,35217,1365690807,1668039972
portainer/portainer,108,1066,3551,1370736734,1668456088
kubernetes/minikube,137,2550,20243,1460759915,1668468669
Blankj/AndroidUtilCode,117,161,1430,1469905022,1666798540
github/hub,100,281,3327,1260051359,1649078210
alibaba/nacos,51,648,4401,1532104043,1668414682
google/guava,83,376,5902,1245348715,1667449088
k3s-io/k3s,522,341,2527,1546330981,1668455861
bazelbuild/bazel,183,5155,34090,1424879120,1668461200
elastic/logstash,296,1387,10313,1249434083,1667985394
realm/realm-java,182,895,8903,1334913522,1664386014
d3/d3,293,299,4341,1285608044,1656857067
Semantic-Org/Semantic-UI,160,1068,6745,1365463685,1665086549
chartjs/Chart.js,100,2523,4349,1363564670,1668467840
strapi/strapi,263,1600,25091,1443652216,1668447178
yarnpkg/yarn,171,627,2353,1453543577,1662404051
jquery/jquery,154,206,6584,1142998387,1668447413
prettier/prettier,118,1525,6962,1480439650,1667728750
mui/material-ui,388,4041,20812,1408389114,1668441666
facebook/react-native,430,3885,26065,1422580249,1668474980
nodejs/node,759,738,37554,1234742520,1668472166
quilljs/quill,140,218,5360,1343690598,1668441632
Leaflet/Leaflet,56,814,7470,1283352930,1668427982
videojs/video.js,462,1246,3850,1273863009,1666303850
kenwheeler/slick,51,337,923,1395626262,1656409200
jashkenas/underscore,81,155,2827,1256495772,1668304613
louislam/uptime-kuma,72,171,3324,1624542123,1668451048
Kong/insomnia,118,355,3779,1458107382,1668452861
pugjs/pug,141,112,2572,1276730921,1640279731
balderdashy/sails,281,143,7157,1326772151,1662148835
vuejs/vuepress,127,108,2128,1522857218,1668050152
symfony/symfony,642,13656,62452,1262615180,1668420816
Seldaek/monolog,71,147,2665,1297904880,1661001704
sebastianbergmann/phpunit,671,480,17267,1151588449,1668156761
monicahq/monica,86,261,3736,1487290904,1666123603
getgrav/grav,263,373,7429,1407004150,1666743608
yiisoft/yii2,67,2664,20137,1302786315,1668419886
matomo-org/matomo,710,4799,28738,1185280402,1668472908
SpartnerNL/Laravel-Excel,159,355,1459,1384010921,1665777670
CachetHQ/Cachet,54,489,7274,1416176768,1617288473
squizlabs/PHP_CodeSniffer,87,685,7220,1157623104,1666331852
octobercms/october,221,1053,5887,1385508643,1668230359
BookStackApp/BookStack,160,550,3775,1436727702,1668265814
phalcon/cphalcon,83,1462,16416,1326216470,1668296986
magento/magento2,154,10738,132950,1322666983,1668454199
doctrine/orm,123,3060,12890,1144959755,1668460529
scikit-learn/scikit-learn,100,1951,29216,1262697992,1668450346
doctrine/dbal,139,1539,10822,1144959755,1667770788
python/cpython,524,19887,115266,650211915,1668474061
ytdl-org/youtube-dl,1119,486,18646,1216674751,1668352169
ansible/ansible,471,39992,53212,1330024644,1668444334
sqlmapproject/sqlmap,93,1266,9987,1224085102,1667382549
commaai/openpilot,73,1072,8003,1579284172,1668466946
certbot/certbot,117,841,10584,1337280610,1668465329
pandas-dev/pandas,139,8206,30659,1249052836,1668460288
vnpy/vnpy,55,305,6504,1425267418,1667273623
locustio/locust,101,445,3837,1277048280,1668174051
python-telegram-bot/python-telegram-bot,95,270,2455,1436283039,1668453540
python-poetry/poetry,118,1072,2659,1519163262,1668471573
numpy/numpy,210,5394,30776,1008690310,1668445395
jina-ai/jina,361,534,8013,1581613485,1668441309
zulip/zulip,91,2412,49158,1346172110,1668474365
matplotlib/matplotlib,115,1578,44912,1052752838,1668473378
starship/starship,126,737,2428,1554175383,1668456441
BurntSushi/ripgrep,70,178,1693,1456589246,1668432667
RaRe-Technologies/gensim,70,250,4393,1251754233,1667483397
meilisearch/meilisearch,155,292,4471,1524405274,1668073555
alacritty/alacritty,79,626,2044,1456071341,1668162425
denoland/deno,208,1257,8196,1526268721,1668473708
rust-lang/rust,104,8052,209992,1276723845,1668407418
